nume_actiune,timestamp
adauga_masina,2026-05-21T16:55:50.748081400
adauga_masina,2026-05-21T16:55:50.755237600
adauga_masina,2026-05-21T16:55:50.756243100
listeaza_toate_masinile,2026-05-21T16:55:50.756243100
inregistreaza_client,2026-05-21T16:55:50.758251400
inregistreaza_client,2026-05-21T16:55:50.759303100
listeaza_toti_clientii,2026-05-21T16:55:50.759303100
cauta_masina_dupa_vin,2026-05-21T16:55:50.760307400
listeaza_masini_disponibile,2026-05-21T16:55:50.761311900
listeaza_masini_sortate_dupa_pret,2026-05-21T16:55:50.764502100
cauta_clienti_dupa_nume,2026-05-21T16:55:50.769277900
creeaza_comanda,2026-05-21T16:55:50.771284600
finalizeaza_vanzare,2026-05-21T16:55:50.774310
marcheaza_masina_vanduta,2026-05-21T16:55:50.775308600
cauta_masina_dupa_vin,2026-05-21T16:55:50.776320600
listeaza_toate_comenzile,2026-05-21T16:55:50.776320600
programeaza_test_drive,2026-05-21T16:55:50.777317300
programeaza_test_drive,2026-05-21T16:55:50.779312200
listeaza_comenzi_client,2026-05-21T16:55:50.779312200
listeaza_toate_test_driveurile,2026-05-21T16:55:50.780311200
listeaza_test_driveuri_client,2026-05-21T16:55:50.781309300
sterge_masina,2026-05-21T16:55:50.783314600
cauta_masina_dupa_vin,2026-05-21T16:55:50.783314600
listeaza_toate_masinile,2026-05-21T16:55:50.784313100
sterge_client,2026-05-21T16:55:50.785310100
cauta_client_dupa_id,2026-05-21T16:55:50.785310100
listeaza_toti_clientii,2026-05-21T16:55:50.787752600
cauta_masina_dupa_vin,2026-05-21T16:55:50.788928200
cauta_client_dupa_id,2026-05-21T16:55:50.789933500
finalizeaza_vanzare,2026-05-21T16:55:50.791116900
adauga_masina,2026-05-21T16:57:14.088360100
adauga_masina,2026-05-21T16:57:14.097398100
adauga_masina,2026-05-21T16:57:14.098404400
listeaza_toate_masinile,2026-05-21T16:57:14.099525800
inregistreaza_client,2026-05-21T16:57:14.101575600
inregistreaza_client,2026-05-21T16:57:14.101575600
listeaza_toti_clientii,2026-05-21T16:57:14.102584100
cauta_masina_dupa_vin,2026-05-21T16:57:14.103593200
listeaza_masini_disponibile,2026-05-21T16:57:14.104601600
listeaza_masini_sortate_dupa_pret,2026-05-21T16:57:14.108703
cauta_clienti_dupa_nume,2026-05-21T16:57:14.113732100
creeaza_comanda,2026-05-21T16:57:14.115749700
finalizeaza_vanzare,2026-05-21T16:57:14.118791300
marcheaza_masina_vanduta,2026-05-21T16:57:14.119795900
